51	1
54	14
55	19
56	11
57	71
58	112
59	22
60	34
61	42
62	53
63	96
64	82
65	76
66	62
67	114
68	5
69	23
70	12
71	23
72	53
73	46
75	33
76	92
77	86
78	71
79	92
80	95
81	14
82	227
83	26
85	12
86	851
87	40
88	20
89	30
90	10
91	30
92	10
93	30
94	40
95	150
96	11
97	60
98	10
99	20
100	20
101	30
102	20
103	20
104	10
105	50
106	60
107	80
108	70
109	70
110	40
111	50
112	30
113	50
114	20
115	80
116	70
117	50
118	50
119	80
120	60
121	60
122	50
123	60
124	60
125	40
126	50
127	70
128	60
129	40
130	40
131	30
132	50
133	180
134	90
135	16
136	14
137	50
138	60
139	12
140	8
141	90
142	90
143	20
144	90
145	110
146	7
147	70
148	20
149	100
150	13
151	12
152	61
153	35
154	15
155	20
156	18
157	10
158	8
159	17
160	12
161	14
162	21
163	12
164	21
165	21
166	10
167	30
171	9
172	17
173	14
174	33
175	274
176	154
177	111
178	96
179	65
180	50
181	65
182	67
183	68
184	46
185	87
186	68
187	85
188	65
189	73
190	66
191	176
192	156
193	109
194	95
195	87
196	68
197	98
198	65
199	82
200	51
201	68
202	54
203	66
204	96
205	62
206	68
207	60
208	71
209	74
210	69
211	78
212	72
213	66
214	68
215	237
216	193
217	117
218	96
219	137
220	116
221	133
222	122
223	85
224	69
225	115
226	138
227	139
228	168
229	145
230	152
231	139
232	8
